Word	occurrences
수권	3
수다	3
수단	2
수도사	2
수렁	2
수명	3
수목	2
수북	2
수상	6
수소	2
수술실	2
수심	3
수정	5
수정체	3
수중 발레	2
수축	2
수축시키다	2
수컷	2
수험자	2
숙식	2
숙주	2
순관 음전	2
순유하다	2
순응성	2
술래	2
술에 취하여	2
숨다	2
숨어서 보이지 않는	2
슬라이드	2
시간에 대다	2
시골의	2
시녀	2
시도하다	2
시동	2
시들다	2
시작하다	2
시장 조사	2
시조	3
시초	3
시험대	2
시험하다	2
식다	2
식당	2
식료품실	2
식민하다	3
식탁	2
신경전	2
신용장	2
신입생	3
신호소	2
실	4
실수	2
실시되다	2
실시하다	3
실제	2
실패작	2
실패하다	2
실행	2
실행하다	2
실험장	2
심	2
심리	3
심사하다	2
십중팔구	2
싹트다	2
썰다	2
쏘다	3
쓰다	7
쓰러뜨리다	2
쓰러지다	2
씻어내다	2
아감딱지	2
아래턱	2
아무리 해도	3
아물다	2
아첨	2
아첨하다	2
아침 예배	2
아파트	3
악성	2
악센트 없는	2
악수하다	2
악용하다	2
악한	2
안개등	2
안내하다	2
앉다	2
않는	3
알다	2
알리다	2
알맹이	3
알선	2
암기하다	2
암시장	2
암초	2
압박하다	2
앞선	2
애써 나아가다	2
앵무새	2
야단법석	2
야생마	2
야채	2
약	4
약모	2
약물	2
약점	2
약탈하다	2
약해지다	2
얌전하게	3
양	5
양가죽	2
양도하다	2
양육	2
얘야	2
어깨	2
어느 정도	3
어딘지	2
어머	2
어머니	2
어버이	2
어지러워	2
억제력	2
억제하다	2
언어	2
언월도	2
언젠가	2
얻다	2
얼굴 가리개	2
얼룩	2
얼마 안 있어	3
얼마간	2
얼음주머니	2
엄니	2
엄마	2
없어지다	2
엎드리다	2
에 면하다	3
에 접근하다	3
에 주의하다	2
여보게	2
여윈	2
여자	3
여자 수영복	2
여행하다	2
연결	2
연결기	2
연단	2
연설	2
연재만화	2
연줄	3
연필	2
열공해	2
열다	2
영사실	2
영양	3
영양가	2
영주	3
영해	2
영향력	2
예상	3
예상지	2
예술품	2
예정	2
옛날	2
오기	3
오래 머물다	2
오래가다	2
오랫동안	2
오려낸 것	4
오만상	2
오싹하는 느낌	2
옥석 혼효	2
올가미	2
올됨	2
올림	4
올림피아 경기	2
옴	3
완성하다	2
외야수	2
외침	2
외투	3
요약하면	2
요양소	2
요점	2
용골	2
우상	3
우주	2
운영비	2
운율학	2
울리다	4
울며 말하다	2
움직이다	2
웃다	3
원고	3
원사	2
원숙	2
원시적인	2
원천	2
월경	3
월계화	2
위	4
위에	3
위임장	2
위전	2
위치	2
위탁하다	2
유다른	2
유럽	2
유리원료	2
유방	3
유상	2
유성학	2
유혹하다	2
유효하다	2
육군 원수	2
육로로	2
윤곽만의	2
율법	2
으로	2
으로 괴로워하는 사람	2
은밀히	4
은신처	2
은어	3
은퇴하다	2
읊다	2
음색	2
음식물	3
음유시인	4
의 대신에	2
의사	5
의회	2
이득	2
이따금	2
이륙	4
이륜차	2
이를 갈다	3
이름	3
이면	3
이미지	2
이승	2
이야기	3
이와 같이	2
이용하다	2
이윤	2
이주	3
인	3
인간	2
인공위성	2
인도	6
인듐	2
인류	2
인문 과학	3
인부	2
인사말	2
인쇄실	2
인식표	3
인하	2
일	5
일어서다	2
일전에	2
일종의	2
일치하다	3
일치하여	2
일탈자	2
읽다	2
임시변통	2
임시변통의	2
있다	4
잉크병	2
잎	2
잎이 나오다	3
자격이 없는	2
자구	2
자국	2
자단	2
자동차	2
자루	3
자르다	3
자매의 관계	2
자선	2
자손	2
자연스런	2
자유	2
자유주의	2
자유주의자	2
자재륜	2
작성하다	2
작업복	2
작업장	2
작품	2
잔학	2
잘못하다	2
잠깐	3
잠방이	2
잠복기	2
잠시	3
잡다	3
잡동사니	2
잡아 당기다	3
잡은 것	2
잡혼	3
장난	2
장대	3
장수	5
장식술	2
장애	2
장학사	3
재고량	2
재고하다	3
재담	3
재원	3
재판소	2
재판하다	3
잭나이프	2
저승	2
저승에서	2
저장하다	2
적격자	2
적성	2
적어도	3
적중하다	2
적하	3
적합하게 하다	2
전공하다	2
전도하다	5
전문	2
전문어	2
전선	2
전시품	2
전역자	2
전위	4
전쟁하다	2
전조	5
전진하다	2
전차인	3
전체로서	2
전파	5
전화 교환국	2
전화 번호부	2
전환하는	2
전희	2
절	4
점	5
점괘가 든 과자	2
점유	2
접대회	2
접속	2
접종	2
접지	3
정돈하다	2
정렬	2
정말이지	2
정물 사진	2
정박소	3
정보제공자	2
정사영	2
정성껏	2
정신 이상자	3
정중면	2
정지	2
정체	4
정형외과	2
제거하다	2
제동수	2
제방	3
제수	2
제자	2
제정하다	2
젤리	3
조건	2
조교	4
조금도 개의치 않다	2
조금도 않다	3
조금씩	2
조달자	2
조만간	2
조사	6
조심하다	2
조절하다	2
조종석	2
조판하다	2
좀	2
종속시키다	2
종일	2
좋아서	2
좋아지다	2
좌석	2
좌절시키다	2
주	8
주둥이	2
주로	2
주류	3
주모자	2
주범	2
주사하다	4
주인공	2
주입	2
주저하다	2
주점	2
주차	2
주홍빛	3
죽다	3
죽이다	2
줄기	3
중간	2
중년기	2
중노동	3
중독	2
중심 인물	2
중심선	2
중심점	2
중요성	2
중지하다	2
즉	3
즉시	2
증거금	2
증기욕	2
증대	3
지껄이다	4
지나간 자국	2
지나치게 하다	2
지도	3
지도부	2
지도자	2
지령	2
지불하다	2
지상 근무원	2
지성소	3
지옥	2
지우다	3
지저귐	2
지키다	2
지탱하다	4
지휘자	2
직각적인	2
직무	4
직물	2
진공관	2
진동	2
진흥	2
질문	2
질주하다	2
짐	2
집단 결혼	2
집사	3
집중시키다	2
집중하다	2
징그다	2
징집하다	2
짜내다	3
찌	2
찌끼	2
찌르기	2
찌름	2
찌푸리다	2
찍히다	2
차	5
차다	7
차리다	5
차점자	2
차환	2
착수하다	3
찬바람	2
찬장	2
참가하다	2
참선	2
참으로	2
창고	3
창유리	2
창작하다	2
찾다	3
채	4
채비	3
채우다	3
챙	2
처리하다	2
처벌하다	2
처신하다	2
처음부터	2
천막집	2
천연 자석	2
철두철미	2
청년	2
청지기	2
청취자	2
청취하다	2
체질하여 가려내다	2
체현	2
초안	2
초유	4
총대리점	2
총액	2
최적	2
최후의 심판	3
추가하다	2
추골	2
추방하다	3
추장	3
추적소	2
추파	2
축 늘어지다	2
축하하다	2
출발하다	2
출세하다	2
출판	2
춤	2
충격	2
충돌하다	2
층	2
치다	10
칙서	2
친구	2
친척	2
침대차	2
캐내다	3
캠프장	2
컨디션	2
컨테이너수송	2
코	2
콘크리트 블록	2
콜라	2
쿵쿵걷다	2
큰 북	2
큰거리	3
타고 넘다	2
타성으로 달리다	2
타이어	2
타이츠	2
타협하다	2
탁상	2
탄창	3
탈구되어	2
탈출	2
탈출하다	2
탈취	2
탈피하다	2
태권도	2
태수	2
태양 중심설	2
태어나다	2
터반	2
터벅터벅 걷다	2
터번	2
턴	2
털어놓다	2
테니스 코트	2
테이프	2
텐트	3
토치램프	2
톡 쏘는	3
통로	3
통하다	2
통해 있다	2
퇴적	2
퇴직시키다	2
투구	3
투수	3
투시력	2
투우사	2
트기	3
파격	2
파괴자	2
파괴하다	2
파내다	2
파동	3
파리채	2
파업수당	2
판권	2
판독하다	2
판례	4
판례법	2
팔다	3
패배하다	2
팽팽하게 켕기다	2
편상화	3
편의상	2
편집장	3
편차	2
평균 거리	2
평온하게	2
포괄	2
포탑	2
포피	3
폭등	2
폭락	2
폭락하다	3
표	5
표면	3
표명하다	2
표시	3
표어	2
표제어	2
표토	4
풀게하다	3
풀다	3
풀이 죽다	2
풍선	3
풍채	2
퓨질리어 연대 보병	2
프랑스 빵	2
플로어쇼	2
피우다	2
피하다	2
필기시험	2
필적하다	2
핑	3
하강기	2
하나씩	2
하는 사람	2
하인	2
하자마자	2
하층사회	3
학대하다	2
학살하다	2
학자	2
학자들	2
한 배	2
한개	2
한단	2
한때	2
한벌	2
한입	4
한장	2
한직	2
합격하다	2
합류점	2
합병하다	2
항복하다	3
해부하다	2
해수욕장	2
해적	2
해제	4
해치다	2
해협	2
핸들	2
행사하다	2
행운아	2
행진곡	2
향상시키다	2
허리	2
허섭쓰레기	2
헐뜯다	2
험상궂은	3
헛된	2
헤프다	2
혁신주의자	2
협력하다	2
형	5
호리다	2
호모	2
호반	3
호색	3
혹사하다	2
혼기	2
혼성	2
혼자서	2
홀짝	2
홍염	2
홍차	2
화가 나서	2
화덕	2
화려하게	2
화류계	2
화장대	3
화장품	2
화해하다	2
환자용 변기	2
환한	2
활공	3
활주판	2
황산	3
황폐하다	2
황하	2
회반죽	2
회식 동료	2
회전반	2
회합	2
횡단 보도	3
후위	3
훨씬	2
휘두르다	2
휴식	2
휴지	3
휴지기간	2
흐려지다	2
흐림	2
흑빵	2
흑점	2
흔들어 떨어뜨리다	3
흘긋 보다	2
흘리다	3
흠	2
흡연실	2
흥분하다	2
희롱	2
10 실링 지폐	2
100년간의	2
100년마다의	2
100년제	2
100배하다	2
10년간의	2
10달러 지폐	2
10음절	2
11각형	2
12의	2
12진법의	2
180도 전환	2
1다스	2
1달러	2
1월	2
1조의	2
1차원의	2
1파운드 지폐	2
1펜스 반	2
1회 뿐인	2
2가 원소	2
2가의	2
2년생의	2
2등분선	2
2등품	2
2륜 경마차	2
2륜 포장마차	2
2배로	2
2상의	2
2색성	2
2음절의	2
2중으로	2
2축의	2
2회	2
32분 음표	2
3가의	2
3루	2
3루타	2
3륜 택시	2
3배	2
3배로	2
3배로 하다	2
3부로 된	2
3부작	2
3제곱의	2
3층의	2
4가의	2
4겹의	2
4두마차	2
4륜 포장마차	2
4륜식의	2
4륜차	2
4번	2
4분 음표	2
4월	2
4음절어	2
4차 방정식	2
4차의	2
4펜스 은화	2
4행시	2
500년제	2
5가의	2
5각형	2
5겹의	2
5년마다의	2
60의	2
